"Catalogo de sismos - Servicio Sismologico Nacional (SSN) | UNAM - Mexico. DOI: 10.21766/SSNMX/EC/MX"
"Informacion sujeta a cambios. Archivo generado el 2025-04-02 a las 20:05:56 (tiempo del centro de Mexico)."
"Sismicidad del 2025-04-01 al 2025-04-02, todas las magnitudes, todas las profundidades, en todo el pais."
"Total: 138 eventos."
Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,"Referencia de localizacion","Fecha UTC","Hora UTC","Estatus"
2025-04-01,00:04:53,3.9,17.363,-100.678,34.9,"17 km al NOROESTE de TECPAN, GRO ",2025-04-01,06:04:53,verificado
2025-04-01,00:06:00,1.7,23.012,-109.764,10.3,"8 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,06:06:00,verificado
2025-04-01,00:41:55,3.9,17.119,-94.049,170.7,"58 km al NOROESTE de CINTALAPA, CHIS ",2025-04-01,06:41:55,verificado
2025-04-01,00:47:45,3.8,15.387,-94.748,17.8,"100 km al SURESTE de SALINA CRUZ, OAX ",2025-04-01,06:47:45,verificado
2025-04-01,00:59:26,3.5,17.081,-95.059,114.5,"23 km al NORTE de MATIAS ROMERO, OAX ",2025-04-01,06:59:26,verificado
2025-04-01,01:04:12,3.5,19.011,-104.334,12.4,"5 km al SUROESTE de MANZANILLO, COL ",2025-04-01,07:04:12,verificado
2025-04-01,01:04:31,3.3,16.039,-96.897,29.6,"27 km al NORESTE de PUERTO ESCONDIDO, OAX ",2025-04-01,07:04:31,verificado
2025-04-01,01:10:58,1.8,23.021,-109.738,9.5,"5 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,07:10:58,verificado
2025-04-01,01:17:35,3.6,16.522,-96.132,68.9,"54 km al NORESTE de MIAHUATLAN, OAX ",2025-04-01,07:17:35,verificado
2025-04-01,01:32:32,3.5,16.386,-97.888,5.0,"18 km al NORESTE de PINOTEPA NACIONAL, OAX ",2025-04-01,07:32:32,verificado
2025-04-01,01:35:21,1.9,23.01,-109.766,12.3,"8 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,07:35:21,verificado
2025-04-01,01:45:53,3.0,16.654,-99.584,22.6,"26 km al SUROESTE de SAN MARCOS, GRO ",2025-04-01,07:45:53,verificado
2025-04-01,02:16:38,3.6,16.029,-97.556,16.0,"13 km al OESTE de RIO GRANDE, OAX ",2025-04-01,08:16:38,verificado
2025-04-01,02:29:36,3.6,17.552,-94.822,135.9,"39 km al SURESTE de SAYULA DE ALEMAN, VER ",2025-04-01,08:29:36,verificado
2025-04-01,02:34:02,3.7,17.717,-94.947,123.7,"18 km al SUR de SAYULA DE ALEMAN, VER ",2025-04-01,08:34:02,verificado
2025-04-01,02:48:07,2.0,23.039,-109.746,10.4,"5 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,08:48:07,verificado
2025-04-01,02:49:31,1.9,23.002,-109.74,10.8,"7 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,08:49:31,verificado
2025-04-01,02:51:08,3.3,16.595,-98.468,5.0,"12 km al SUROESTE de OMETEPEC, GRO ",2025-04-01,08:51:08,verificado
2025-04-01,04:06:44,3.7,23.023,-100.184,5.0,"66 km al NORTE de CERRITOS, SLP ",2025-04-01,10:06:44,verificado
2025-04-01,04:08:17,3.5,15.7,-94.908,17.0,"62 km al SURESTE de SALINA CRUZ, OAX ",2025-04-01,10:08:17,verificado
2025-04-01,04:37:45,3.5,16.945,-94.901,49.8,"17 km al NORESTE de MATIAS ROMERO, OAX ",2025-04-01,10:37:45,verificado
2025-04-01,05:04:53,1.9,23.018,-109.759,12.2,"7 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,11:04:53,verificado
2025-04-01,05:25:30,1.8,22.979,-109.775,5.2,"11 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,11:25:30,verificado
2025-04-01,06:04:31,3.8,25.039,-109.506,10.0,"98 km al SUROESTE de LOS MOCHIS, SIN ",2025-04-01,12:04:31,verificado
2025-04-01,06:09:03,3.4,16.241,-98.079,11.6,"12 km al SUR de PINOTEPA NACIONAL, OAX ",2025-04-01,12:09:03,verificado
2025-04-01,06:10:58,3.5,17.667,-99.44,55.1,"9 km al ESTE de ZUMPANGO DEL RIO, GRO ",2025-04-01,12:10:58,verificado
2025-04-01,06:16:40,2.3,23.015,-109.694,7.9,"5 km al SURESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,12:16:40,verificado
2025-04-01,07:10:39,1.6,23.0,-109.737,10.8,"7 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,13:10:39,verificado
2025-04-01,07:13:57,3.1,19.443,-104.994,42.4,"51 km al NOROESTE de CIHUATLAN, JAL ",2025-04-01,13:13:57,verificado
2025-04-01,07:22:27,3.8,23.074,-100.211,5.0,"71 km al NORTE de CERRITOS, SLP ",2025-04-01,13:22:27,verificado
2025-04-01,07:24:26,3.2,31.454,-115.66,10.0,"87 km al NORESTE de VICENTE GUERRERO, BC ",2025-04-01,13:24:26,verificado
2025-04-01,07:48:35,4.0,14.99,-94.433,16.0,"141 km al SUROESTE de TONALA, CHIS ",2025-04-01,13:48:35,verificado
2025-04-01,07:57:04,2.9,19.603,-103.718,23.2,"29 km al SUROESTE de CD GUZMAN, JAL ",2025-04-01,13:57:04,verificado
2025-04-01,08:01:37,3.8,15.579,-96.43,20.8,"19 km al SUR de S PEDRO POCHUTLA, OAX ",2025-04-01,14:01:37,verificado
2025-04-01,09:36:58,3.5,16.027,-96.973,29.7,"21 km al NORESTE de PUERTO ESCONDIDO, OAX ",2025-04-01,15:36:58,verificado
2025-04-01,09:51:27,1.5,23.037,-109.744,11.3,"5 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-01,15:51:27,verificado
2025-04-01,09:56:35,3.6,15.421,-97.329,16.2,"56 km al SUROESTE de PUERTO ESCONDIDO, OAX ",2025-04-01,15:56:35,verificado
2025-04-01,09:59:20,4.4,13.579,-92.6,6.5,"131 km al SUROESTE de CD HIDALGO, CHIS ",2025-04-01,15:59:20,verificado
2025-04-01,10:01:49,3.3,17.37,-95.131,121.1,"56 km al NORTE de MATIAS ROMERO, OAX ",2025-04-01,16:01:49,verificado
2025-04-01,10:35:50,3.2,16.264,-98.067,9.8,"9 km al SUR de PINOTEPA NACIONAL, OAX ",2025-04-01,16:35:50,verificado
2025-04-01,10:47:39,3.8,18.604,-95.923,10.0,"25 km al SUROESTE de ALVARADO, VER ",2025-04-01,16:47:39,verificado
2025-04-01,11:49:00,3.4,18.213,-102.735,4.4,"47 km al NOROESTE de LA MIRA, MICH ",2025-04-01,17:49:00,verificado
2025-04-01,11:57:17,4.0,14.498,-94.559,10.0,"196 km al SUROESTE de TONALA, CHIS ",2025-04-01,17:57:17,verificado
2025-04-01,12:25:32,3.6,17.123,-95.007,114.4,"28 km al NORTE de MATIAS ROMERO, OAX ",2025-04-01,18:25:32,verificado
2025-04-01,13:05:10,3.0,16.737,-99.435,21.2,"8 km al SUROESTE de SAN MARCOS, GRO ",2025-04-01,19:05:10,verificado
2025-04-01,13:11:35,3.3,16.112,-97.06,35.4,"28 km al NORTE de PUERTO ESCONDIDO, OAX ",2025-04-01,19:11:35,verificado
2025-04-01,13:16:50,3.3,17.007,-94.705,113.0,"39 km al NORESTE de MATIAS ROMERO, OAX ",2025-04-01,19:16:50,verificado
2025-04-01,13:51:59,3.5,16.547,-95.167,3.0,"7 km al OESTE de CD IXTEPEC, OAX ",2025-04-01,19:51:59,verificado
2025-04-01,14:07:27,3.2,16.182,-98.325,9.9,"34 km al SUROESTE de PINOTEPA NACIONAL, OAX ",2025-04-01,20:07:27,verificado
2025-04-01,14:24:50,3.4,18.402,-103.8,10.0,"57 km al SUR de TECOMAN, COL ",2025-04-01,20:24:50,verificado
2025-04-01,14:31:56,3.5,16.348,-98.081,2.4,"3 km al OESTE de PINOTEPA NACIONAL, OAX ",2025-04-01,20:31:56,verificado
2025-04-01,14:51:46,3.5,16.203,-98.287,5.5,"29 km al SUROESTE de PINOTEPA NACIONAL, OAX ",2025-04-01,20:51:46,verificado
2025-04-01,15:00:09,3.4,17.755,-94.94,116.0,"14 km al SUR de SAYULA DE ALEMAN, VER ",2025-04-01,21:00:09,verificado
2025-04-01,15:19:29,3.1,17.24,-99.719,43.1,"42 km al SUROESTE de CHILPANCINGO, GRO ",2025-04-01,21:19:29,verificado
2025-04-01,16:43:12,3.6,18.134,-99.936,54.5,"27 km al SUR de TELOLOAPAN, GRO ",2025-04-01,22:43:12,verificado
2025-04-01,17:01:45,3.3,16.623,-95.058,13.2,"8 km al NORESTE de CD IXTEPEC, OAX ",2025-04-01,23:01:45,verificado
2025-04-01,17:10:02,3.3,31.389,-115.517,11.1,"76 km al NOROESTE de SAN FELIPE, BC ",2025-04-01,23:10:02,verificado
2025-04-01,17:39:05,3.9,15.699,-94.642,44.0,"80 km al SURESTE de SALINA CRUZ, OAX ",2025-04-01,23:39:05,verificado
2025-04-01,17:40:53,3.6,23.267,-100.17,10.0,"64 km al SURESTE de MATEHUALA, SLP ",2025-04-01,23:40:53,verificado
2025-04-01,18:21:33,1.7,23.038,-109.748,10.8,"5 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-02,00:21:33,verificado
2025-04-01,19:08:10,3.8,15.691,-96.459,33.4,"6 km al SUR de S PEDRO POCHUTLA, OAX ",2025-04-02,01:08:10,verificado
2025-04-01,19:21:32,3.1,18.907,-104.204,11.3,"20 km al SURESTE de MANZANILLO, COL ",2025-04-02,01:21:32,verificado
2025-04-01,19:40:12,3.2,19.183,-104.397,41.3,"17 km al NOROESTE de MANZANILLO, COL ",2025-04-02,01:40:12,verificado
2025-04-01,20:10:04,1.7,23.018,-109.738,10.0,"6 km al SUROESTE de SAN JOSE DEL CABO, BCS ",2025-04-02,02:10:04,verificado
